USERNAME,PASSWORD,FIRST NAME,LAST NAME,STREET,CITY,STATE,ZIP,CCNUMBER,CVV,EXP DATE,STORE NAME,CHAIN NAME,DRONE ID,DRONE STATUS,DRONE ZIP,DRONE RADIUS
mmoss7,password2,Mark,Moss,15 Tech Lane,Duluth,GA,30047,,,,,,,,,
lchen27,password3,Liang,Chen,40 Walker Rd ,Kennesaw,GA,30144,,,,KSU Center,Moss Market,103,Available,30144,3
jhilborn97,password4,Jack,Hilborn,177 W Beaverdam Rd,Atlanta,GA,30303,,,,Park Place,Publix,114,Available,30303,8
jhilborn98,password5,Jake,Hilborn,4605 Nasa Pkwy,Atlanta,GA,30309,,,,The Plaza Midtown,Publix,105,Available,30309,4
ygao10,password6,Yuan,Gao,27 Paisley Dr SW,Atlanta,GA,30313,,,,North Avenue,Whole Foods,106,Available,30313,6
kfrog03,password7,Kermit,Frog,707 E Norfolk Ave,Atlanta,GA,30318,,,,Piedmont,Sprouts,117,Available,30318,9
cforte58,password8,Connor,Forte,13817 Shirley Ct NE,Atlanta,GA,30332,,,,Tech Square,Query Mart,118,Available,30332,5
fdavenport49,password9,Felicia,Devenport,6150 Old Millersport Rd NE,College Park,GA,30339,,,,College Park,Moss Market,109,Available,30339,5
hliu88,password10,Hang,Liu,1855 Fruit St,Atlanta,GA,30363,,,,Atlanta Station,Publix,110,Available,30363,5
akarev16,password11,Alex,Karev,100 NW 73rd Pl ,Johns Creek,GA,30022,,,,North Point,Whole Foods,111,Busy,30022,5
jdoe381,password12,Jane ,Doe,12602 Gradwell St,Duluth,GA,30047,,,,Norcross,Kroger,102,Available,30047,7
sstrange11,password13,Stephen,Strange,112 Huron Dr,Kennesaw,GA,30144,,,,Owl Circle,Trader Joe's,113,Available,30144,6
dmcstuffins7,password14,Doc,Mcstuffins,27 Elio Cir,Atlanta,GA,30303,,,,Park Place,Publix,104,Busy,30303,8
mgrey91,password15,Meredith,Grey,500 N Stanwick Rd,Atlanta,GA,30309,,,,The Plaza Midtown,Publix,115,Available,30309,7
pwallace51,password16,Penny,Wallace,3127 Westwood Dr NW,Atlanta,GA,30313,,,,GT Center,Query Mart,116,Available,30313,3
jrosario34,password17,Jon,Rosario,1111 Catherine St,Atlanta,GA,30318,,,,Piedmont,Sprouts,107,Available,30318,8
nshea230,password18,Nicholas,Shea,299 Shady Ln,Atlanta,GA,30332,,,,Midtown,Kroger,108,Available,30332,7
mgeller3,password19,Monica ,Geller,120 Stanley St,College Park,GA,30339,,,,College Park,Moss Market,119,Available,30339,7
rgeller9,password20,Ross,Geller ,4206 106th Pl NE,Atlanta,GA,30363,,,,Atlanta Station,Publix,120,Available,30363,7
jtribbiani27,password21,Joey ,Tribbiani,143 Pebble Ln,Johns Creek,GA,30022,,,,Abbots Bridge,Sprouts,101,Available,30022,5
pbuffay56,password22,Phoebe ,Buffay,230 County Rd,Duluth,GA,30047,,,,Pleasant Hill,Wal Mart,112,Busy,30047,6
rgreen97,password23,Rachel,Green,40 Frenchburg Ct,Kennesaw,GA,30144,,,,,Kroger,,,,
